Name,Nummer
Route de Morgins,8530430
"Hettiswil b. H., Kreuz",8508951
"Kaltacker, Ramisberg",8508955
"Adligenswil, Widspüel",8573063
"Binningen, Dorenbach",8500071
Mattstetten (Abzw),8508042
"Küssnacht am Rigi, Chliarniweg",8591703
Diavolezzafirn (Talstation),8531104
"Murten, Schwimmbad",8583453
"Blonay, village",8579211
"Scheidbach, Bissen",8571300
"Risch, Dorf",8587572
"Chasseral, bif. Métairie de l'Isle",8583498
"Bauma, Widen",8573548
"Chur, Schönmattweg",8573183
"Plaffeien, Schaferli",8577879
"Collonge-Bellerive, Collonge",8587045
"Rheinfelden, Albrechtsplatz",8583449
"Enges, Verger-du-Bas",8583490
"Horboden, Sporthalle",8583546
"Rodels, Rèsch",8583524
"Epalinges, Vuilletaz",8593828
"Grimentz, télécabine",8570949
"Rothenburg, Mauritiusring",8577240
"Rothenburg, Eichenring",8577241
"Abtwil SG, Sonnenberg",8506643
"Aigle, Pré Neyroud",8509014
"Eich, Eichhof",8583509
"Rothenburg, Buzibach",8577242
"Churwalden, Bergbahnen",8583828
"Oensingen, Roggen",8583816
"Olivella, Lago",8575252
"Root, Schlosshof",8577181
"Niederneunforn, Dorf",8506887
"Sennwald, Hof",8509241
"Kyburg, Ettenhusen",8575948
"Lamone-Cadempino, Stazione",8575319
"Lugano, Genzana",8575310
"Manno, Boschetti",8575336
"Weggis, Acher",8577216
Basel St. Jakob Nord (Spw),8510209
"Würenlingen, Weissenstein",8503593
"Obersaxen, St. Martin",8583533
"Wileroltigen, Mösli",8588091
"Engelberg, Hahnenblick",8502917
"Kaltbrunn, Schulhaus Altbreit.",8573875
"Mühlehorn, Bahnhof",8573901
"Mollis, Winden",8573890
"Anières, Marguerite",8592626
"Ibach, Abzw. Unterschönenbuch",8592394
Lädeli,8508252
Burleun (Talstation La Cauma),8530852
Schlatt Paradies (Fähre),8530837
Belalp Bruchegg,8530824
Alp Dado (Talstation Fil),8530847
Giswil Zollhaus,8530816
"Haslen AI, Kastbühl",8574064
"Naters, Junkerbiel",8578422
"Locarno, Case Popolari",8580993
"Roggliswil, Netzelen",8580732
"Euseigne, la Combaz",8580673
"Näfels, Letz",8577734
"Bouveret, village",8530739
Brüttelen,8504467
"Monthey, Dailles",8504498
"Saas-Fee, Grosses Moos",8594575
"Neuchâtel, Temple Valangines",8594603
